Volume (m3),Surface (m2),Head (m)
14000000000,200000000,220
13986000000,199863614.7,219.93
13972000000,199727185.9,219.8599522
13958000000,199590713.6,219.7898566
13944000000,199454197.7,219.7197131
13930000000,199317638.3,219.6495215
13916000000,199181035.1,219.5792819
13902000000,199044388.2,219.5089941
13888000000,198907697.6,219.438658
13874000000,198770963.1,219.3682736
13860000000,198634184.6,219.2978408
13846000000,198497362.2,219.2273594
13832000000,198360495.8,219.1568295
13818000000,198223585.3,219.086251
13804000000,198086630.7,219.0156236
13790000000,197949631.8,218.9449475
13776000000,197812588.7,218.8742224
13762000000,197675501.3,218.8034484
13748000000,197538369.4,218.7326252
13734000000,197401193.2,218.6617529
13720000000,197263972.4,218.5908314
13706000000,197126707.1,218.5198605
13692000000,196989397.2,218.4488402
13678000000,196852042.6,218.3777704
13664000000,196714643.2,218.306651
13650000000,196577199.1,218.2354819
13636000000,196439710.1,218.164263
13622000000,196302176.1,218.0929943
13608000000,196164597.2,218.0216757
13594000000,196026973.2,217.9503071
13580000000,195889304.2,217.8788883
13566000000,195751589.9,217.8074194
13552000000,195613830.5,217.7359002
13538000000,195476025.7,217.6643306
13524000000,195338175.6,217.5927106
13510000000,195200280.1,217.52104
13496000000,195062339.1,217.4493188
13482000000,194924352.6,217.3775469
13468000000,194786320.5,217.3057241
13454000000,194648242.7,217.2338505
13440000000,194510119.2,217.1619259
13426000000,194371949.9,217.0899502
13412000000,194233734.8,217.0179233
13398000000,194095473.7,216.9458452
13384000000,193957166.7,216.8737158
13370000000,193818813.6,216.8015349
13356000000,193680414.4,216.7293025
13342000000,193541969.1,216.6570185
13328000000,193403477.5,216.5846827
13314000000,193264939.6,216.5122952
13300000000,193126355.4,216.4398558
13286000000,192987724.7,216.3673644
13272000000,192849047.6,216.2948209
13258000000,192710323.9,216.2222253
13244000000,192571553.6,216.1495774
13230000000,192432736.6,216.0768771
13216000000,192293872.8,216.0041244
13202000000,192154962.3,215.9313192
13188000000,192016004.9,215.8584613
13174000000,191877000.5,215.7855507
13160000000,191737949.1,215.7125873
13146000000,191598850.6,215.639571
13132000000,191459705,215.5665017
13118000000,191320512.2,215.4933792
13104000000,191181272.1,215.4202036
13090000000,191041984.7,215.3469747
13076000000,190902649.9,215.2736924
13062000000,190763267.5,215.2003565
13048000000,190623837.7,215.1269672
13034000000,190484360.2,215.0535241
13020000000,190344835.1,214.9800272
13006000000,190205262.2,214.9064765
12992000000,190065641.5,214.8328718
12978000000,189925972.9,214.7592131
12964000000,189786256.4,214.6855001
12950000000,189646491.9,214.6117329
12936000000,189506679.3,214.5379114
12922000000,189366818.5,214.4640354
12908000000,189226909.5,214.3901048
12894000000,189086952.2,214.3161195
12880000000,188946946.5,214.2420795
12866000000,188806892.5,214.1679846
12852000000,188666789.9,214.0938348
12838000000,188526638.7,214.0196299
12824000000,188386439,213.9453698
12810000000,188246190.5,213.8710545
12796000000,188105893.2,213.7966838
12782000000,187965547.1,213.7222576
12768000000,187825152,213.6477759
12754000000,187684708,213.5732385
12740000000,187544214.9,213.4986453
12726000000,187403672.7,213.4239963
12712000000,187263081.3,213.3492912
12698000000,187122440.6,213.2745301
12684000000,186981750.5,213.1997128
12670000000,186841011.1,213.1248391
12656000000,186700222.1,213.0499091
12642000000,186559383.6,212.9749226
12628000000,186418495.4,212.8998795
12614000000,186277557.6,212.8247796
12600000000,186136569.9,212.749623
12586000000,185995532.5,212.6744094
12572000000,185854445,212.5991387
12558000000,185713307.6,212.523811
12544000000,185572120.1,212.448426
