Volume (m3),Surface (m2),Head (m)
6000000000,119000000,178.5
5994000000,118918850.7,178.4432045
5988000000,118837675.6,178.3863703
5982000000,118756474.6,178.3294973
5976000000,118675247.7,178.2725854
5970000000,118593994.8,178.2156345
5964000000,118512715.9,178.1586446
5958000000,118431411,178.1016156
5952000000,118350080.1,178.0445475
5946000000,118268723,177.9874402
5940000000,118187339.9,177.9302935
5934000000,118105930.5,177.8731075
5928000000,118024495,177.8158821
5922000000,117943033.3,177.7586173
5916000000,117861545.2,177.7013128
5910000000,117780030.9,177.6439688
5904000000,117698490.3,177.586585
5898000000,117616923.2,177.5291615
5892000000,117535329.8,177.4716982
5886000000,117453709.9,177.414195
5880000000,117372063.6,177.3566518
5874000000,117290390.7,177.2990686
5868000000,117208691.3,177.2414453
5862000000,117126965.3,177.1837819
5856000000,117045212.7,177.1260782
5850000000,116963433.4,177.0683342
5844000000,116881627.5,177.0105498
5838000000,116799794.8,176.952725
5832000000,116717935.3,176.8948596
5826000000,116636049.1,176.8369537
5820000000,116554136,176.7790071
5814000000,116472196,176.7210198
5808000000,116390229.1,176.6629918
5802000000,116308235.3,176.6049228
5796000000,116226214.5,176.5468129
5790000000,116144166.7,176.488662
5784000000,116062091.8,176.43047
5778000000,115979989.8,176.3722369
5772000000,115897860.7,176.3139625
5766000000,115815704.4,176.2556469
5760000000,115733520.9,176.1972899
5754000000,115651310.2,176.1388914
5748000000,115569072.2,176.0804514
5742000000,115486806.9,176.0219699
5736000000,115404514.2,175.9634467
5730000000,115322194.1,175.9048817
5724000000,115239846.6,175.846275
5718000000,115157471.6,175.7876263
5712000000,115075069.1,175.7289358
5706000000,114992639.1,175.6702032
5700000000,114910181.5,175.6114284
5694000000,114827696.2,175.5526116
5688000000,114745183.3,175.4937524
5682000000,114662642.7,175.434851
5676000000,114580074.4,175.3759071
5670000000,114497478.3,175.3169208
5664000000,114414854.3,175.2578919
5658000000,114332202.6,175.1988203
5652000000,114249522.9,175.1397061
5646000000,114166815.3,175.0805491
5640000000,114084079.7,175.0213493
5634000000,114001316.1,174.9621065
5628000000,113918524.5,174.9028207
5622000000,113835704.8,174.8434918
5616000000,113752856.9,174.7841197
5610000000,113669980.9,174.7247045
5604000000,113587076.7,174.6652458
5598000000,113504144.2,174.6057438
5592000000,113421183.4,174.5461984
5586000000,113338194.3,174.4866093
5580000000,113255176.9,174.4269766
5574000000,113172131,174.3673003
5568000000,113089056.7,174.3075801
5562000000,113005953.9,174.2478161
5556000000,112922822.6,174.1880081
5550000000,112839662.7,174.128156
5544000000,112756474.2,174.0682599
5538000000,112673257,174.0083196
5532000000,112590011.1,173.948335
5526000000,112506736.6,173.8883061
5520000000,112423433.2,173.8282327
5514000000,112340101,173.7681148
5508000000,112256740,173.7079523
5502000000,112173350.1,173.6477452
5496000000,112089931.2,173.5874933
5490000000,112006483.3,173.5271965
5484000000,111923006.5,173.4668548
5478000000,111839500.5,173.4064681
5472000000,111755965.5,173.3460364
5466000000,111672401.3,173.2855594
5460000000,111588807.9,173.2250372
5454000000,111505185.3,173.1644697
5448000000,111421533.4,173.1038567
5442000000,111337852.1,173.0431983
5436000000,111254141.6,172.9824942
5430000000,111170401.6,172.9217445
5424000000,111086632.2,172.860949
5418000000,111002833.2,172.8001077
5412000000,110919004.8,172.7392204
5406000000,110835146.8,172.6782871
5400000000,110751259.1,172.6173077
5394000000,110667341.8,172.5562821
5388000000,110583394.8,172.4952103
5382000000,110499418,172.4340921
5376000000,110415411.5,172.3729274
